Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
1	1	640.000000, 360.000000	0.000000, 0.000000	0.000000, 0.000000
1	2	839.987500, 362.236068	-0.012500, 2.236068	-0.012500, 0.000000
1	3	959.995117, 361.767767	-0.004883, 1.767767	-0.004883, 0.000000
2	1	640.000000, 360.000000	0.000000, 0.000000	0.000000, 0.000000
2	2	839.962501, 364.471996	-0.024999, 2.235928	-0.012499, -0.000140
2	3	959.985351, 363.535507	-0.009766, 1.767740	-0.004883, -0.000027
3	1	640.000001, 360.000000	0.000000, 0.000000	0.000000, 0.000000
3	2	839.925007, 366.707645	-0.037494, 2.235649	-0.012495, -0.000279
3	3	959.970702, 365.303193	-0.014649, 1.767686	-0.004883, -0.000054
4	1	640.000001, 360.000000	0.000001, 0.000000	0.000000, 0.000000
4	2	839.875025, 368.942875	-0.049982, 2.235230	-0.012488, -0.000419
4	3	959.951171, 367.070798	-0.019531, 1.767605	-0.004882, -0.000081
5	1	640.000002, 360.000000	0.000001, 0.000000	0.000000, 0.000000
5	2	839.812565, 371.177546	-0.062460, 2.234671	-0.012478, -0.000558
5	3	959.926759, 368.838295	-0.024412, 1.767497	-0.004881, -0.000108
6	1	640.000003, 360.000000	0.000001, 0.000000	0.000000, 0.000000
6	2	839.737640, 373.411520	-0.074925, 2.233974	-0.012465, -0.000697
6	3	959.897467, 370.605658	-0.029292, 1.767362	-0.004880, -0.000135
7	1	640.000004, 360.000000	0.000001, 0.000000	0.000000, 0.000000
7	2	839.650267, 375.644659	-0.087373, 2.233138	-0.012448, -0.000836
7	3	959.863297, 372.372859	-0.034170, 1.767201	-0.004878, -0.000162
8	1	640.000005, 360.000000	0.000001, 0.000000	0.000000, 0.000000
8	2	839.550465, 377.876823	-0.099802, 2.232164	-0.012429, -0.000974
8	3	959.824250, 374.139871	-0.039047, 1.767012	-0.004876, -0.000189
9	1	640.000007, 360.000000	0.000001, 0.000000	0.000000, 0.000000
9	2	839.438256, 380.107876	-0.112209, 2.231053	-0.012407, -0.001111
9	3	959.780329, 375.906668	-0.043921, 1.766797	-0.004874, -0.000215
10	1	640.000008, 360.000000	0.000001, 0.000000	0.000000, 0.000000
10	2	839.313666, 382.337681	-0.124590, 2.229805	-0.012381, -0.001248
10	3	959.731537, 377.673222	-0.048793, 1.766554	-0.004872, -0.000242
11	1	640.000010, 360.000000	0.000002, 0.000000	0.000000, 0.000000
11	2	839.176724, 384.566101	-0.136942, 2.228420	-0.012353, -0.001384
11	3	959.677875, 379.439507	-0.053662, 1.766285	-0.004869, -0.000269
12	1	640.000012, 360.000000	0.000002, 0.000000	0.000000, 0.000000
12	2	839.027460, 386.793001	-0.149264, 2.226900	-0.012321, -0.001520
12	3	959.619348, 381.205497	-0.058528, 1.765989	-0.004866, -0.000296
13	1	640.000014, 360.000001	0.000002, 0.000000	0.000000, 0.000000
13	2	838.865910, 389.018248	-0.161550, 2.225246	-0.012287, -0.001654
13	3	959.555958, 382.971163	-0.063390, 1.765667	-0.004863, -0.000323
14	1	640.000016, 360.000001	0.000002, 0.000000	0.000000, 0.000000
14	2	838.692110, 391.241706	-0.173800, 2.223459	-0.012249, -0.001787
14	3	959.487708, 384.736481	-0.068249, 1.765318	-0.004859, -0.000349
15	1	640.000018, 360.000001	0.000002, 0.000000	0.000000, 0.000000
15	2	838.506100, 393.463246	-0.186009, 2.221539	-0.012209, -0.001920
15	3	959.414604, 386.501423	-0.073104, 1.764942	-0.004855, -0.000376
16	1	640.000020, 360.000001	0.000002, 0.000000	0.000000, 0.000000
16	2	838.307925, 395.682734	-0.198176, 2.219488	-0.012166, -0.002051
16	3	959.336649, 388.265962	-0.077955, 1.764539	-0.004851, -0.000402
17	1	640.000023, 360.000001	0.000003, 0.000000	0.000000, 0.000000
17	2	838.097628, 397.900041	-0.210296, 2.217307	-0.012121, -0.002181
17	3	959.253847, 390.030072	-0.082802, 1.764110	-0.004846, -0.000429
18	1	640.000025, 360.000001	0.000003, 0.000000	0.000000, 0.000000
18	2	837.875260, 400.115038	-0.222369, 2.214997	-0.012072, -0.002310
18	3	959.166204, 391.793727	-0.087643, 1.763655	-0.004842, -0.000455
19	1	640.000028, 360.000002	0.000003, 0.000000	0.000000, 0.000000
19	2	837.640870, 402.327599	-0.234390, 2.212560	-0.012021, -0.002437
19	3	959.073724, 393.556901	-0.092480, 1.763173	-0.004837, -0.000482
20	1	640.000031, 360.000002	0.000003, 0.000000	0.000000, 0.000000
20	2	837.394513, 404.537596	-0.246357, 2.209997	-0.011967, -0.002563
20	3	958.976413, 395.319566	-0.097311, 1.762665	-0.004831, -0.000508
21	1	640.000034, 360.000002	0.000003, 0.000000	0.000000, 0.000000
21	2	837.136245, 406.744906	-0.258268, 2.207310	-0.011911, -0.002687
21	3	958.874277, 397.081697	-0.102136, 1.762131	-0.004826, -0.000534
22	1	640.000038, 360.000003	0.000003, 0.000000	0.000000, 0.000000
22	2	836.866126, 408.949405	-0.270120, 2.204499	-0.011852, -0.002810
22	3	958.767321, 398.843268	-0.106956, 1.761571	-0.004820, -0.000560
23	1	640.000041, 360.000003	0.000003, 0.000000	0.000000, 0.000000
23	2	836.584215, 411.150973	-0.281911, 2.201568	-0.011791, -0.002932
23	3	958.655551, 400.604252	-0.111769, 1.760984	-0.004813, -0.000586
24	1	640.000044, 360.000003	0.000004, 0.000000	0.000000, 0.000000
24	2	836.290577, 413.349489	-0.293638, 2.198516	-0.011727, -0.003051
24	3	958.538975, 402.364623	-0.116576, 1.760372	-0.004807, -0.000612
25	1	640.000048, 360.000004	0.000004, 0.000000	0.000000, 0.000000
25	2	835.985278, 415.544836	-0.305299, 2.195347	-0.011661, -0.003169
25	3	958.417599, 404.124357	-0.121376, 1.759733	-0.004800, -0.000638
26	1	640.000052, 360.000004	0.000004, 0.000000	0.000000, 0.000000
26	2	835.668386, 417.736897	-0.316892, 2.192061	-0.011593, -0.003286
26	3	958.291429, 405.883426	-0.126170, 1.759069	-0.004793, -0.000664
27	1	640.000056, 360.000005	0.000004, 0.000001	0.000000, 0.000000
27	2	835.339972, 419.925559	-0.328414, 2.188661	-0.011522, -0.003400
27	3	958.160474, 407.641805	-0.130955, 1.758379	-0.004786, -0.000690
28	1	640.000060, 360.000005	0.000004, 0.000001	0.000000, 0.000000
28	2	835.000109, 422.110707	-0.339864, 2.185149	-0.011450, -0.003513
28	3	958.024740, 409.399469	-0.135733, 1.757664	-0.004778, -0.000715
29	1	640.000064, 360.000006	0.000004, 0.000001	0.000000, 0.000000
29	2	834.648870, 424.292233	-0.351238, 2.181526	-0.011375, -0.003623
29	3	957.884236, 411.156393	-0.140504, 1.756923	-0.004770, -0.000741
30	1	640.000068, 360.000007	0.000004, 0.000001	0.000000, 0.000000
30	2	834.286334, 426.470027	-0.362536, 2.177794	-0.011298, -0.003732
30	3	957.738971, 412.912549	-0.145266, 1.756157	-0.004762, -0.000766
31	1	640.000073, 360.000007	0.000004, 0.000001	0.000000, 0.000000
31	2	833.912578, 428.643982	-0.373756, 2.173955	-0.011219, -0.003839
31	3	957.588951, 414.667915	-0.150020, 1.755365	-0.004754, -0.000792
32	1	640.000078, 360.000008	0.000005, 0.000001	0.000000, 0.000000
32	2	833.527683, 430.813994	-0.384895, 2.170012	-0.011139, -0.003943
32	3	957.434186, 416.422463	-0.154765, 1.754549	-0.004745, -0.000817
33	1	640.000082, 360.000009	0.000005, 0.000001	0.000000, 0.000000
33	2	833.131732, 432.979960	-0.395951, 2.165966	-0.011057, -0.004046
33	3	957.274685, 418.176170	-0.159501, 1.753707	-0.004736, -0.000842
