Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
1	1	640.000000, 360.000000	0.000000, 0.000000	0.000000, 0.000000
1	2	839.987500, 361.581100	-0.012500, 1.581100	-0.012500, 0.000000
1	3	959.995117, 361.250000	-0.004883, 1.250000	-0.004883, 0.000000
2	1	640.000000, 360.000000	0.000000, 0.000000	0.000000, 0.000000
2	2	839.962500, 363.162101	-0.025000, 1.581001	-0.012500, -0.000099
2	3	959.985350, 362.499981	-0.009766, 1.249981	-0.004883, -0.000019
3	1	640.000001, 360.000000	0.000000, 0.000000	0.000000, 0.000000
3	2	839.925000, 364.742905	-0.037500, 1.580804	-0.012500, -0.000198
3	3	959.970701, 363.749924	-0.014650, 1.249943	-0.004883, -0.000038
4	1	640.000001, 360.000000	0.000001, 0.000000	0.000000, 0.000000
4	2	839.875002, 366.323412	-0.049999, 1.580507	-0.012499, -0.000297
4	3	959.951168, 364.999809	-0.019533, 1.249886	-0.004883, -0.000057
5	1	640.000002, 360.000000	0.000001, 0.000000	0.000000, 0.000000
5	2	839.812507, 367.903523	-0.062495, 1.580112	-0.012497, -0.000395
5	3	959.926753, 366.249619	-0.024415, 1.249809	-0.004883, -0.000076
6	1	640.000003, 360.000000	0.000001, 0.000000	0.000000, 0.000000
6	2	839.737517, 369.483141	-0.074989, 1.579617	-0.012494, -0.000494
6	3	959.897455, 367.499332	-0.029298, 1.249714	-0.004883, -0.000095
7	1	640.000004, 360.000000	0.000001, 0.000000	0.000000, 0.000000
7	2	839.650038, 371.062165	-0.087480, 1.579024	-0.012490, -0.000593
7	3	959.863275, 368.748932	-0.034180, 1.249599	-0.004882, -0.000114
8	1	640.000005, 360.000000	0.000001, 0.000000	0.000000, 0.000000
8	2	839.550072, 372.640498	-0.099966, 1.578333	-0.012486, -0.000692
8	3	959.824213, 369.998398	-0.039062, 1.249466	-0.004882, -0.000134
9	1	640.000007, 360.000000	0.000001, 0.000000	0.000000, 0.000000
9	2	839.437625, 374.218040	-0.112447, 1.577542	-0.012481, -0.000791
9	3	959.780269, 371.247711	-0.043944, 1.249313	-0.004881, -0.000153
10	1	640.000008, 360.000000	0.000001, 0.000000	0.000000, 0.000000
10	2	839.312703, 375.794692	-0.124922, 1.576653	-0.012475, -0.000889
10	3	959.731445, 372.496853	-0.048824, 1.249142	-0.004881, -0.000172
11	1	640.000010, 360.000000	0.000002, 0.000000	0.000000, 0.000000
11	2	839.175312, 377.370357	-0.137391, 1.575664	-0.012469, -0.000988
11	3	959.677740, 373.745804	-0.053705, 1.248951	-0.004880, -0.000191
12	1	640.000012, 360.000000	0.000002, 0.000000	0.000000, 0.000000
12	2	839.025461, 378.944934	-0.149852, 1.574578	-0.012461, -0.001087
12	3	959.619156, 374.994545	-0.058584, 1.248741	-0.004879, -0.000210
13	1	640.000014, 360.000000	0.000002, 0.000000	0.000000, 0.000000
13	2	838.863156, 380.518326	-0.162305, 1.573392	-0.012453, -0.001185
13	3	959.555694, 376.243057	-0.063463, 1.248512	-0.004879, -0.000229
14	1	640.000016, 360.000000	0.000002, 0.000000	0.000000, 0.000000
14	2	838.688408, 382.090435	-0.174749, 1.572108	-0.012444, -0.001284
14	3	959.487353, 377.491322	-0.068340, 1.248264	-0.004878, -0.000248
15	1	640.000018, 360.000001	0.000002, 0.000000	0.000000, 0.000000
15	2	838.501225, 383.661161	-0.187183, 1.570726	-0.012434, -0.001382
15	3	959.414136, 378.739319	-0.073217, 1.247997	-0.004877, -0.000267
16	1	640.000020, 360.000001	0.000002, 0.000000	0.000000, 0.000000
16	2	838.301619, 385.230406	-0.199606, 1.569245	-0.012424, -0.001481
16	3	959.336042, 379.987031	-0.078093, 1.247711	-0.004876, -0.000286
17	1	640.000023, 360.000001	0.000003, 0.000000	0.000000, 0.000000
17	2	838.089600, 386.798071	-0.212018, 1.567666	-0.012412, -0.001579
17	3	959.253074, 381.234437	-0.082968, 1.247406	-0.004875, -0.000305
18	1	640.000026, 360.000001	0.000003, 0.000000	0.000000, 0.000000
18	2	837.865182, 388.364059	-0.224419, 1.565988	-0.012400, -0.001678
18	3	959.165233, 382.481519	-0.087842, 1.247082	-0.004874, -0.000324
19	1	640.000028, 360.000001	0.000003, 0.000000	0.000000, 0.000000
19	2	837.628376, 389.928272	-0.236806, 1.564212	-0.012387, -0.001776
19	3	959.072518, 383.728258	-0.092714, 1.246739	-0.004872, -0.000343
20	1	640.000031, 360.000001	0.000003, 0.000000	0.000000, 0.000000
20	2	837.379196, 391.490610	-0.249179, 1.562339	-0.012374, -0.001874
20	3	958.974933, 384.974635	-0.097585, 1.246377	-0.004871, -0.000362
21	1	640.000034, 360.000002	0.000003, 0.000000	0.000000, 0.000000
21	2	837.117658, 393.050977	-0.261539, 1.560367	-0.012359, -0.001972
21	3	958.872478, 386.220631	-0.102455, 1.245996	-0.004870, -0.000381
22	1	640.000038, 360.000002	0.000003, 0.000000	0.000000, 0.000000
22	2	836.843775, 394.609274	-0.273882, 1.558297	-0.012344, -0.002070
22	3	958.765155, 387.466226	-0.107323, 1.245595	-0.004868, -0.000400
23	1	640.000041, 360.000002	0.000003, 0.000000	0.000000, 0.000000
23	2	836.557565, 396.165403	-0.286210, 1.556129	-0.012328, -0.002168
23	3	958.652965, 388.711402	-0.112190, 1.245176	-0.004867, -0.000419
24	1	640.000045, 360.000002	0.000004, 0.000000	0.000000, 0.000000
24	2	836.259044, 397.719267	-0.298521, 1.553864	-0.012311, -0.002265
24	3	958.535910, 389.956140	-0.117055, 1.244738	-0.004865, -0.000438
25	1	640.000048, 360.000003	0.000004, 0.000000	0.000000, 0.000000
25	2	835.948229, 399.270769	-0.310815, 1.551501	-0.012294, -0.002363
25	3	958.413991, 391.200421	-0.121919, 1.244280	-0.004863, -0.000457
26	1	640.000052, 360.000003	0.000004, 0.000000	0.000000, 0.000000
26	2	835.625139, 400.819810	-0.323090, 1.549041	-0.012275, -0.002460
26	3	958.287211, 392.444225	-0.126780, 1.243804	-0.004862, -0.000476
27	1	640.000056, 360.000004	0.000004, 0.000000	0.000000, 0.000000
27	2	835.289793, 402.366294	-0.335346, 1.546484	-0.012256, -0.002557
27	3	958.155570, 393.687534	-0.131640, 1.243309	-0.004860, -0.000495
28	1	640.000060, 360.000004	0.000004, 0.000000	0.000000, 0.000000
28	2	834.942210, 403.910123	-0.347582, 1.543829	-0.012236, -0.002655
28	3	958.019072, 394.930328	-0.136498, 1.242794	-0.004858, -0.000514
29	1	640.000065, 360.000004	0.000004, 0.000000	0.000000, 0.000000
29	2	834.582413, 405.451201	-0.359798, 1.541078	-0.012216, -0.002752
29	3	957.877718, 396.172589	-0.141354, 1.242261	-0.004856, -0.000533
30	1	640.000069, 360.000005	0.000004, 0.000000	0.000000, 0.000000
30	2	834.210421, 406.989430	-0.371992, 1.538229	-0.012194, -0.002848
30	3	957.731509, 397.414298	-0.146208, 1.241709	-0.004854, -0.000552
31	1	640.000074, 360.000005	0.000005, 0.000001	0.000000, 0.000000
31	2	833.826257, 408.524714	-0.384164, 1.535284	-0.012172, -0.002945
31	3	957.580449, 398.655436	-0.151060, 1.241138	-0.004852, -0.000571
32	1	640.000079, 360.000006	0.000005, 0.000001	0.000000, 0.000000
32	2	833.429944, 410.056957	-0.396313, 1.532243	-0.012149, -0.003042
32	3	957.424539, 399.895983	-0.155910, 1.240547	-0.004850, -0.000590
33	1	640.000083, 360.000006	0.000005, 0.000001	0.000000, 0.000000
33	2	833.021506, 411.586062	-0.408438, 1.529105	-0.012125, -0.003138
33	3	957.263782, 401.135921	-0.160757, 1.239938	-0.004847, -0.000609
34	1	640.000088, 360.000007	0.000005, 0.000001	0.000000, 0.000000
34	2	832.600968, 413.111932	-0.420539, 1.525871	-0.012101, -0.003234
34	3	957.098180, 402.375231	-0.165602, 1.239310	-0.004845, -0.000628
35	1	640.000094, 360.000008	0.000005, 0.000001	0.000000, 0.000000
35	2	832.168354, 414.634473	-0.432614, 1.522541	-0.012075, -0.003330
35	3	956.927735, 403.613894	-0.170445, 1.238663	-0.004843, -0.000647
36	1	640.000099, 360.000008	0.000005, 0.000001	0.000000, 0.000000
36	2	831.723690, 416.153588	-0.444663, 1.519115	-0.012049, -0.003426
36	3	956.752450, 404.851891	-0.175285, 1.237997	-0.004840, -0.000666
37	1	640.000104, 360.000009	0.000005, 0.000001	0.000000, 0.000000
37	2	831.267004, 417.669182	-0.456686, 1.515594	-0.012023, -0.003521
37	3	956.572327, 406.089203	-0.180123, 1.237312	-0.004838, -0.000685
38	1	640.000110, 360.000010	0.000006, 0.000001	0.000000, 0.000000
38	2	830.798323, 419.181159	-0.468681, 1.511977	-0.011995, -0.003617
38	3	956.387370, 407.325811	-0.184957, 1.236608	-0.004835, -0.000704
39	1	640.000116, 360.000011	0.000006, 0.000001	0.000000, 0.000000
39	2	830.317675, 420.689424	-0.480648, 1.508265	-0.011967, -0.003712
39	3	956.197580, 408.561697	-0.189790, 1.235885	-0.004832, -0.000723
40	1	640.000122, 360.000012	0.000006, 0.000001	0.000000, 0.000000
40	2	829.825090, 422.193882	-0.492585, 1.504458	-0.011938, -0.003807
40	3	956.002961, 409.796841	-0.194619, 1.235144	-0.004829, -0.000742
41	1	640.000128, 360.000012	0.000006, 0.000001	0.000000, 0.000000
41	2	829.320596, 423.694439	-0.504493, 1.500557	-0.011908, -0.003902
41	3	955.803516, 411.031224	-0.199446, 1.234383	-0.004827, -0.000761
42	1	640.000134, 360.000013	0.000006, 0.000001	0.000000, 0.000000
42	2	828.804226, 425.191000	-0.516371, 1.496561	-0.011877, -0.003996
42	3	955.599246, 412.264828	-0.204269, 1.233604	-0.004824, -0.000779
43	1	640.000140, 360.000014	0.000006, 0.000001	0.000000, 0.000000
43	2	828.276010, 426.683470	-0.528216, 1.492470	-0.011846, -0.004090
43	3	955.390156, 413.497634	-0.209090, 1.232806	-0.004821, -0.000798
44	1	640.000147, 360.000015	0.000006, 0.000001	0.000000, 0.000000
44	2	827.735979, 428.171756	-0.540030, 1.488286	-0.011814, -0.004184
44	3	955.176249, 414.729622	-0.213907, 1.231989	-0.004818, -0.000817
45	1	640.000153, 360.000016	0.000007, 0.000001	0.000000, 0.000000
45	2	827.184168, 429.655764	-0.551811, 1.484008	-0.011781, -0.004278
45	3	954.957527, 415.960775	-0.218722, 1.231153	-0.004814, -0.000836
46	1	640.000160, 360.000017	0.000007, 0.000001	0.000000, 0.000000
46	2	826.620610, 431.135401	-0.563559, 1.479637	-0.011747, -0.004372
46	3	954.733995, 417.191073	-0.223533, 1.230298	-0.004811, -0.000855
47	1	640.000167, 360.000019	0.000007, 0.000001	0.000000, 0.000000
47	2	826.045338, 432.610573	-0.575272, 1.475172	-0.011713, -0.004465
47	3	954.505654, 418.420498	-0.228341, 1.229424	-0.004808, -0.000874
48	1	640.000174, 360.000020	0.000007, 0.000001	0.000000, 0.000000
48	2	825.458388, 434.081187	-0.586950, 1.470614	-0.011678, -0.004558
48	3	954.272509, 419.649030	-0.233145, 1.228532	-0.004804, -0.000892
49	1	640.000181, 360.000021	0.000007, 0.000001	0.000000, 0.000000
