Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
1	1	640.000000, 360.000000	0.000000, 0.000000	0.000149, 0.000000
1	2	839.992969, 361.185854	-0.009375, 1.581139	-0.000125, 0.000000
1	3	959.997253, 360.937500	-0.003662, 1.250000	-0.000024, 0.000000
2	1	640.000000, 360.000000	0.000000, 0.000000	0.000149, 0.000001
2	2	839.978906, 362.371667	-0.018750, 1.581083	-0.000125, -0.000001
2	3	959.991760, 361.874992	-0.007325, 1.249989	-0.000024, -0.000000
3	1	640.000001, 360.000000	0.000000, 0.000000	0.000149, 0.000002
3	2	839.957813, 363.557396	-0.028125, 1.580972	-0.000125, -0.000001
3	3	959.983519, 362.812468	-0.010987, 1.249968	-0.000024, -0.000000
4	1	640.000001, 360.000000	0.000000, 0.000000	0.000149, 0.000002
4	2	839.929688, 364.743000	-0.037499, 1.580805	-0.000125, -0.000002
4	3	959.972532, 363.749920	-0.014649, 1.249936	-0.000024, -0.000000
5	1	640.000001, 360.000000	0.000001, 0.000000	0.000149, 0.000003
5	2	839.894534, 365.928437	-0.046873, 1.580583	-0.000125, -0.000003
5	3	959.958798, 364.687339	-0.018312, 1.249893	-0.000024, -0.000000
6	1	640.000002, 360.000000	0.000001, 0.000000	0.000149, 0.000004
6	2	839.852350, 367.113665	-0.056245, 1.580305	-0.000125, -0.000004
6	3	959.942318, 365.624718	-0.021974, 1.249839	-0.000024, -0.000000
7	1	640.000002, 360.000000	0.000001, 0.000000	0.000149, 0.000005
7	2	839.803138, 368.298644	-0.065616, 1.579971	-0.000125, -0.000004
7	3	959.923091, 366.562049	-0.025636, 1.249775	-0.000024, -0.000000
8	1	640.000003, 360.000000	0.000001, 0.000000	0.000149, 0.000006
8	2	839.746899, 369.483331	-0.074985, 1.579582	-0.000125, -0.000005
8	3	959.901118, 367.499324	-0.029298, 1.249700	-0.000024, -0.000001
9	1	640.000004, 360.000000	0.000001, 0.000000	0.000149, 0.000007
9	2	839.683635, 370.667684	-0.084352, 1.579138	-0.000125, -0.000006
9	3	959.876399, 368.436534	-0.032959, 1.249614	-0.000024, -0.000001
10	1	640.000005, 360.000000	0.000001, 0.000000	0.000149, 0.000007
10	2	839.613348, 371.851662	-0.093717, 1.578637	-0.000125, -0.000007
10	3	959.848933, 369.373672	-0.036621, 1.249517	-0.000024, -0.000001
11	1	640.000006, 360.000000	0.000001, 0.000000	0.000149, 0.000008
11	2	839.536039, 373.035223	-0.103078, 1.578081	-0.000125, -0.000007
11	3	959.818722, 370.310730	-0.040282, 1.249410	-0.000024, -0.000001
12	1	640.000007, 360.000000	0.000001, 0.000000	0.000149, 0.000009
12	2	839.451712, 374.218325	-0.112437, 1.577470	-0.000125, -0.000008
12	3	959.785765, 371.247699	-0.043943, 1.249292	-0.000024, -0.000001
13	1	640.000008, 360.000000	0.000001, 0.000000	0.000149, 0.000010
13	2	839.360368, 375.400927	-0.121792, 1.576803	-0.000125, -0.000009
13	3	959.750063, 372.184571	-0.047603, 1.249163	-0.000024, -0.000001
14	1	640.000009, 360.000000	0.000002, 0.000000	0.000149, 0.000011
14	2	839.262010, 376.582988	-0.131143, 1.576081	-0.000125, -0.000010
14	3	959.711615, 373.121339	-0.051263, 1.249024	-0.000024, -0.000001
15	1	640.000010, 360.000000	0.000002, 0.000000	0.000149, 0.000011
15	2	839.156643, 377.764465	-0.140490, 1.575303	-0.000125, -0.000010
15	3	959.670423, 374.057994	-0.054923, 1.248874	-0.000024, -0.000001
16	1	640.000011, 360.000000	0.000002, 0.000000	0.000149, 0.000012
16	2	839.044268, 378.945317	-0.149833, 1.574469	-0.000125, -0.000011
16	3	959.626486, 374.994529	-0.058582, 1.248713	-0.000024, -0.000001
17	1	640.000013, 360.000000	0.000002, 0.000000	0.000149, 0.000013
17	2	838.924890, 380.125503	-0.159171, 1.573581	-0.000125, -0.000012
17	3	959.579806, 375.930934	-0.062241, 1.248541	-0.000024, -0.000001
18	1	640.000014, 360.000000	0.000002, 0.000000	0.000149, 0.000014
18	2	838.798512, 381.304980	-0.168504, 1.572636	-0.000124, -0.000013
18	3	959.530381, 376.867203	-0.065899, 1.248359	-0.000024, -0.000001
19	1	640.000016, 360.000001	0.000002, 0.000000	0.000149, 0.000015
19	2	838.665138, 382.483707	-0.177831, 1.571637	-0.000124, -0.000013
19	3	959.478213, 377.803328	-0.069557, 1.248166	-0.000024, -0.000001
20	1	640.000018, 360.000001	0.000002, 0.000000	0.000149, 0.000015
20	2	838.524774, 383.661644	-0.187153, 1.570582	-0.000124, -0.000014
20	3	959.423302, 378.739299	-0.073215, 1.247962	-0.000024, -0.000001
21	1	640.000019, 360.000001	0.000002, 0.000000	0.000149, 0.000016
21	2	838.377423, 384.838747	-0.196468, 1.569471	-0.000124, -0.000015
21	3	959.365649, 379.675109	-0.076871, 1.247747	-0.000024, -0.000001
22	1	640.000021, 360.000001	0.000002, 0.000000	0.000148, 0.000017
22	2	838.223090, 386.014977	-0.205777, 1.568306	-0.000124, -0.000016
22	3	959.305253, 380.610751	-0.080527, 1.247522	-0.000024, -0.000002
23	1	640.000023, 360.000001	0.000003, 0.000000	0.000148, 0.000018
23	2	838.061780, 387.190290	-0.215080, 1.567085	-0.000124, -0.000016
23	3	959.242116, 381.546216	-0.084183, 1.247286	-0.000024, -0.000002
24	1	640.000025, 360.000001	0.000003, 0.000000	0.000148, 0.000019
24	2	837.893499, 388.364647	-0.224375, 1.565809	-0.000124, -0.000017
24	3	959.176238, 382.481495	-0.087838, 1.247040	-0.000024, -0.000002
25	1	640.000027, 360.000001	0.000003, 0.000000	0.000148, 0.000019
25	2	837.718251, 389.538005	-0.233663, 1.564478	-0.000124, -0.000018
25	3	959.107619, 383.416582	-0.091492, 1.246782	-0.000024, -0.000002
26	1	640.000029, 360.000001	0.000003, 0.000000	0.000148, 0.000020
26	2	837.536044, 390.710323	-0.242943, 1.563091	-0.000124, -0.000018
26	3	959.036261, 384.351468	-0.095145, 1.246514	-0.000024, -0.000002
27	1	640.000032, 360.000001	0.000003, 0.000000	0.000148, 0.000021
27	2	837.346883, 391.881561	-0.252215, 1.561650	-0.000124, -0.000019
27	3	958.962163, 385.286144	-0.098798, 1.246235	-0.000024, -0.000002
28	1	640.000034, 360.000002	0.000003, 0.000000	0.000148, 0.000022
28	2	837.150774, 393.051676	-0.261479, 1.560153	-0.000124, -0.000020
28	3	958.885326, 386.220604	-0.102449, 1.245946	-0.000024, -0.000002
29	1	640.000036, 360.000002	0.000003, 0.000000	0.000148, 0.000023
29	2	836.947724, 394.220627	-0.270733, 1.558601	-0.000123, -0.000021
29	3	958.805750, 387.154838	-0.106100, 1.245646	-0.000024, -0.000002
30	1	640.000039, 360.000002	0.000003, 0.000000	0.000148, 0.000023
30	2	836.737740, 395.388373	-0.279979, 1.556995	-0.000123, -0.000021
30	3	958.723438, 388.088839	-0.109750, 1.245335	-0.000024, -0.000002
31	1	640.000042, 360.000002	0.000003, 0.000000	0.000147, 0.000024
31	2	836.520828, 396.554873	-0.289216, 1.555333	-0.000123, -0.000022
31	3	958.638388, 389.022599	-0.113399, 1.245013	-0.000024, -0.000002
32	1	640.000044, 360.000002	0.000004, 0.000000	0.000147, 0.000025
32	2	836.296996, 397.720086	-0.298443, 1.553617	-0.000123, -0.000023
32	3	958.550603, 389.956110	-0.117048, 1.244681	-0.000024, -0.000002
33	1	640.000047, 360.000003	0.000004, 0.000000	0.000147, 0.000026
33	2	836.066251, 398.883970	-0.307659, 1.551846	-0.000123, -0.000024
33	3	958.460081, 390.889364	-0.120695, 1.244338	-0.000024, -0.000002
34	1	640.000050, 360.000003	0.000004, 0.000000	0.000147, 0.000027
34	2	835.828602, 400.046486	-0.316866, 1.550020	-0.000123, -0.000024
34	3	958.366825, 391.822352	-0.124341, 1.243985	-0.000024, -0.000002
35	1	640.000053, 360.000003	0.000004, 0.000000	0.000147, 0.000028
35	2	835.584056, 401.207590	-0.326061, 1.548140	-0.000123, -0.000025
35	3	958.270836, 392.755067	-0.127986, 1.243620	-0.000024, -0.000002
36	1	640.000056, 360.000004	0.000004, 0.000000	0.000147, 0.000028
36	2	835.332621, 402.367244	-0.335246, 1.546205	-0.000122, -0.000026
36	3	958.172113, 393.687501	-0.131631, 1.243245	-0.000024, -0.000003
37	1	640.000059, 360.000004	0.000004, 0.000000	0.000147, 0.000029
37	2	835.074307, 403.525405	-0.344419, 1.544215	-0.000122, -0.000027
37	3	958.070657, 394.619646	-0.135274, 1.242859	-0.000024, -0.000003
38	1	640.000062, 360.000004	0.000004, 0.000000	0.000146, 0.000030
38	2	834.809121, 404.682033	-0.353581, 1.542171	-0.000122, -0.000027
38	3	957.966470, 395.551493	-0.138916, 1.242463	-0.000024, -0.000003
39	1	640.000065, 360.000005	0.000004, 0.000000	0.000146, 0.000031
39	2	834.537073, 405.837087	-0.362731, 1.540072	-0.000122, -0.000028
39	3	957.859553, 396.483035	-0.142557, 1.242056	-0.000024, -0.000003
40	1	640.000069, 360.000005	0.000004, 0.000000	0.000146, 0.000031
40	2	834.258172, 406.990526	-0.371868, 1.537919	-0.000122, -0.000029
40	3	957.749906, 397.414264	-0.146196, 1.241638	-0.000024, -0.000003
41	1	640.000072, 360.000005	0.000005, 0.000000	0.000146, 0.000032
41	2	833.972427, 408.142310	-0.380993, 1.535712	-0.000122, -0.000029
41	3	957.637529, 398.345171	-0.149835, 1.241210	-0.000024, -0.000003
42	1	640.000076, 360.000006	0.000005, 0.000001	0.000146, 0.000033
42	2	833.679848, 409.292397	-0.390105, 1.533450	-0.000121, -0.000030
42	3	957.522425, 399.275749	-0.153472, 1.240771	-0.000024, -0.000003
43	1	640.000079, 360.000006	0.000005, 0.000001	0.000146, 0.000034
43	2	833.380446, 410.440748	-0.399203, 1.531134	-0.000121, -0.000031
43	3	957.404594, 400.205990	-0.157108, 1.240321	-0.000024, -0.000003
44	1	640.000083, 360.000006	0.000005, 0.000001	0.000145, 0.000035
44	2	833.074229, 411.587322	-0.408288, 1.528765	-0.000121, -0.000032
44	3	957.284037, 401.135886	-0.160743, 1.239861	-0.000024, -0.000003
45	1	640.000087, 360.000007	0.000005, 0.000001	0.000145, 0.000035
45	2	832.761210, 412.732078	-0.417359, 1.526341	-0.000121, -0.000032
45	3	957.160755, 402.065429	-0.164376, 1.239390	-0.000024, -0.000003
46	1	640.000090, 360.000007	0.000005, 0.000001	0.000145, 0.000036
46	2	832.441398, 413.874975	-0.426416, 1.523863	-0.000121, -0.000033
46	3	957.034749, 402.994610	-0.168008, 1.238908	-0.000024, -0.000003
47	1	640.000094, 360.000008	0.000005, 0.000001	0.000145, 0.000037
47	2	832.114804, 415.015974	-0.435458, 1.521332	-0.000121, -0.000034
47	3	956.906020, 403.923422	-0.171639, 1.238416	-0.000024, -0.000003
48	1	640.000098, 360.000008	0.000005, 0.000001	0.000145, 0.000038
48	2	831.781440, 416.155034	-0.444486, 1.518747	-0.000120, -0.000034
48	3	956.774570, 404.851856	-0.175268, 1.237913	-0.000024, -0.000003
49	1	640.000102, 360.000009	0.000005, 0.000001	0.000144, 0.000039
49	2	831.441317, 417.292115	-0.453498, 1.516108	-0.000120, -0.000035
49	3	956.640398, 405.779906	-0.178895, 1.237399	-0.000024, -0.000003
50	1	640.000107, 360.000009	0.000006, 0.000001	0.000144, 0.000039
50	2	831.094446, 418.427177	-0.462494, 1.513415	-0.000120, -0.000036
50	3	956.503507, 406.707562	-0.182522, 1.236875	-0.000024, -0.000003
51	1	640.000111, 360.000010	0.000006, 0.000001	0.000144, 0.000040
51	2	830.740840, 419.560179	-0.471475, 1.510670	-0.000120, -0.000037
51	3	956.363897, 407.634818	-0.186146, 1.236340	-0.000024, -0.000004
52	1	640.000115, 360.000011	0.000006, 0.000001	0.000144, 0.000041
52	2	830.380510, 420.691082	-0.480440, 1.507870	-0.000120, -0.000037
52	3	956.221570, 408.561664	-0.189769, 1.235795	-0.000024, -0.000004
53	1	640.000119, 360.000011	0.000006, 0.000001	0.000143, 0.000042
53	2	830.013469, 421.819845	-0.489388, 1.505018	-0.000119, -0.000038
53	3	956.076527, 409.488093	-0.193391, 1.235239	-0.000024, -0.000004
54	1	640.000124, 360.000012	0.000006, 0.000001	0.000143, 0.000043
54	2	829.639730, 422.946429	-0.498319, 1.502112	-0.000119, -0.000039
54	3	955.928769, 410.414097	-0.197011, 1.234672	-0.000024, -0.000004
55	1	640.000129, 360.000013	0.000006, 0.000001	0.000143, 0.000043
55	2	829.259305, 424.070793	-0.507233, 1.499153	-0.000119, -0.000039
55	3	955.778297, 411.339668	-0.200629, 1.234095	-0.000024, -0.000004
56	1	640.000133, 360.000013	0.000006, 0.000001	0.000143, 0.000044
56	2	828.872208, 425.192899	-0.516130, 1.496141	-0.000119, -0.000040
56	3	955.625113, 412.264798	-0.204246, 1.233507	-0.000024, -0.000004
